id,group,sample,group_original,sample_original,directory,lane,fastq_1,fastq_2,read_num_1,read_num_2
UMI8b.IL.THSS3_UMI8b.4.IL.THSS3,UMI8b.IL.THSS3,UMI8b.4.IL.THSS3,UMI8b_IL_THSS3,UMI8b_4_IL_THSS3,20230818,2,20230818/K562_THSS3_1ul_4_S8_R1_001.fastq.gz,20230818/K562_THSS3_1ul_4_S8_R3_001.fastq.gz,36875603,36875603
UMI8b.IL.DFSS3.12C_UMI8b.1.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.1.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_1_IL_DFSS3_12C,20230804,1,20230804/K562_DFSS3_1_Illumina_12c_S14_R1_001.fastq.gz,20230804/K562_DFSS3_1_Illumina_12c_S14_R3_001.fastq.gz,4510831,4510831
UMI8b.IL.DFSS3.12C_UMI8b.1.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.1.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_1_IL_DFSS3_12C,20230818,2,20230818/K562_DFSS3_1_Illumina_12c_S9_R1_001.fastq.gz,20230818/K562_DFSS3_1_Illumina_12c_S9_R3_001.fastq.gz,24014861,24014861
UMI8b.IL.DFSS3.12C_UMI8b.2.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.2.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_2_IL_DFSS3_12C,20230804,1,20230804/K562_DFSS3_2_Illumina_12c_S15_R1_001.fastq.gz,20230804/K562_DFSS3_2_Illumina_12c_S15_R3_001.fastq.gz,4371896,4371896
UMI8b.IL.DFSS3.12C_UMI8b.2.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.2.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_2_IL_DFSS3_12C,20230818,2,20230818/K562_DFSS3_2_Illumina_12c_S10_R1_001.fastq.gz,20230818/K562_DFSS3_2_Illumina_12c_S10_R3_001.fastq.gz,27429274,27429274
UMI8b.IL.DFSS3.12C_UMI8b.3.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.3.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_3_IL_DFSS3_12C,20230804,1,20230804/K562_DFSS3_3_Illumina_12c_S16_R1_001.fastq.gz,20230804/K562_DFSS3_3_Illumina_12c_S16_R3_001.fastq.gz,4045031,4045031
UMI8b.IL.DFSS3.12C_UMI8b.3.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.3.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_3_IL_DFSS3_12C,20230818,2,20230818/K562_DFSS3_3_Illumina_12c_S11_R1_001.fastq.gz,20230818/K562_DFSS3_3_Illumina_12c_S11_R3_001.fastq.gz,25836057,25836057
UMI8b.IL.DFSS3.12C_UMI8b.4.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.4.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_4_IL_DFSS3_12C,20230804,1,20230804/K562_DFSS3_4_Illumina_12c_S17_R1_001.fastq.gz,20230804/K562_DFSS3_4_Illumina_12c_S17_R3_001.fastq.gz,3263830,3263830
UMI8b.IL.DFSS3.12C_UMI8b.4.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.4.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_4_IL_DFSS3_12C,20230818,2,20230818/K562_DFSS3_4_Illumina_12c_S12_R1_001.fastq.gz,20230818/K562_DFSS3_4_Illumina_12c_S12_R3_001.fastq.gz,31814234,31814234
UMI8b.IL.THSS3.12C_UMI8b.1.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.1.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_1_IL_THSS3_12C,20230804,1,20230804/K562_THSS3_1_Illumina_12c_S18_R1_001.fastq.gz,20230804/K562_THSS3_1_Illumina_12c_S18_R3_001.fastq.gz,2725318,2725318
